uuid,name,email,phone,avatar,created,lat,long,colorTheme,luckyNumber
7e1dd089-8773-5fc9-a3bc-37ba5f186ffe,Jane Burberi,itorefhic@zab.my,+4387333564,https://randomuser.me/api/portraits/women/21.jpg,2023-02-06 9:05:09,18.63,-78.39,violet,23
274fb591-d53e-59cc-8cf0-5ad05197d384,Luke Fontani,mephufra@vag.uz,+7398258518,https://randomuser.me/api/portraits/men/11.jpg,2023-02-10 6:39:14,-71.26,-37.73,indigo,79
f4141b18-5516-5e36-bfec-75b27a6c9a55,Millie Marchiani,muter@wej.ee,+3662471305,https://randomuser.me/api/portraits/women/58.jpg,2023-02-28 11:25:37,35.05,87.94,indigo,61
e6030963-d08b-5ee3-ba22-92fb186adadd,Vera Peterson,wuuwohuv@ji.gw,+2449431683,https://randomuser.me/api/portraits/women/68.jpg,2023-02-11 9:34:52,69.61,-71.8,green,5
5d816dc1-1d4a-50fd-853f-362a31bda9ef,Jon Johnson,ho@log.bm,+5326094015,https://randomuser.me/api/portraits/men/19.jpg,2023-02-04 9:07:13,14.53,6.6,violet,3
2cf23817-dfa9-506d-892b-0a771147b5b9,Leroy Tesi,namde@hel.ch,+4458383011,https://randomuser.me/api/portraits/men/37.jpg,2023-03-14 6:54:05,-83.75,-78.78,blue,31
709a878f-1a5a-55d4-902a-93700a9af939,Chase Huet,ila@atlicoc.us,+8882878813,https://randomuser.me/api/portraits/men/71.jpg,2023-02-15 2:00:33,19.05,14.42,blue,3
a1e02d3d-778b-5816-a08b-1bc7a044c5fe,David Bailey,sunaw@uzacew.lu,+9044942976,https://randomuser.me/api/portraits/men/6.jpg,2023-03-15 10:42:09,68.71,-60.09,yellow,97
16750888-1f45-55d1-9faa-62609cf53d93,Hulda Vaughan,mod@didabrod.ni,+4237769636,https://randomuser.me/api/portraits/women/81.jpg,2023-02-26 11:47:38,-86.27,-11.67,indigo,37
ecc31131-c9ac-5efa-9270-d9bf878b66d1,Marian Magini,vakkab@wufepgum.eg,+3155454471,https://randomuser.me/api/portraits/women/34.jpg,2023-02-28 4:46:44,0.32,-15.7,indigo,29
